Department,Topic,Sub_Topic,question_name,question_url,question_answer,document
Future Students,Accomodations,Academic Accomodation Support,How do I know who my Facilitator is?,https://www.torontomu.ca/accommodations/faq/#accordion-content-1702068595814-how-do-i-know-who-my-facilitator-is-,"The name and contact information of your Student Accommodation Facilitator is listed on your accommodation plan.

Visit the AAS Student Portal to review and download your accommodation plan. 

Occasionally, based on staffing, caseloads, leaves, or other circumstances, a student's Accommodation Facilitator may change.

When this happens, AAS will provide as much communication and transparency as possible to ensure a smooth transition.","How do I know who my Facilitator is?
The name and contact information of your Student Accommodation Facilitator is listed on your accommodation plan.

Visit the AAS Student Portal to review and download your accommodation plan. 

Occasionally, based on staffing, caseloads, leaves, or other circumstances, a student's Accommodation Facilitator may change.

When this happens, AAS will provide as much communication and transparency as possible to ensure a smooth transition."
School of Social Work,Graduate,Master of Social Work,How long is the field placement  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805836-how-long-is-the-field-placement-,"The MSW placement begins in the second term of the program. You will be in placement from mid-January to the end of June. This consists of three days of placement per week (21 hours), normally on Wednesday, Thursday and Friday. You will complete 450 hours, in total, of placement.","How long is the field placement  for Master of Social Work program?
The MSW placement begins in the second term of the program. You will be in placement from mid-January to the end of June. This consists of three days of placement per week (21 hours), normally on Wednesday, Thursday and Friday. You will complete 450 hours, in total, of placement."
Ted Rogers School of Management,Master of Science in Management,General Inquiries,Is there a part-time option?,https://www.torontomu.ca/tedrogersschool/master-science-management/admissions/faqs/#accordion-content-1571336174980-is-there-a-part-time-option-,The MScM program is available as a full-time degree only. The graduate-level work-load is heavy and you may be required to attend courses at different times throughout the day. We strongly recommend that you do not attempt to work full-time while pursuing this degree.,"Is there a part-time option?
The MScM program is available as a full-time degree only. The graduate-level work-load is heavy and you may be required to attend courses at different times throughout the day. We strongly recommend that you do not attempt to work full-time while pursuing this degree."
Data Science and Analytics,Data Science and Analytics,Data Science and Analytics,What is the difference between an MRP and a thesis  for data science and analytics program?,https://www.torontomu.ca/graduate/datascience/admission/faq/#accordion-content-1515097276408-what-is-the-difference-between-an-mrp-and-a-thesis-,"The MRP is a project rather than a thesis. It is applied, whereas thesis is research-focused.","What is the difference between an MRP and a thesis  for data science and analytics program?
The MRP is a project rather than a thesis. It is applied, whereas thesis is research-focused."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Master of Nursing Program Placement,What is a Practicum Request Form (PRF)?,https://www.torontomu.ca/nursing/central-placement-office/faqs/master-nursing-placement-frequently-asked-questions/#accordion-content-1620293078461-what-is-a-practicum-request-form--prf--,"The MN 8904/5 Course Professor is responsible to approve your practicum. You should only fill-out a PRF after meeting with your Course Professor and getting approval.

The Practicum Request Form allows you to identify an approved preceptor with graduate education with whom you would like to be placed with for your practicum. This Form is used to communicate with the Placement Coordinator to arrange your placement with your preceptor's organization.","What is a Practicum Request Form (PRF)?
The MN 8904/5 Course Professor is responsible to approve your practicum. You should only fill-out a PRF after meeting with your Course Professor and getting approval.

The Practicum Request Form allows you to identify an approved preceptor with graduate education with whom you would like to be placed with for your practicum. This Form is used to communicate with the Placement Coordinator to arrange your placement with your preceptor's organization."
Ted Rogers School of Management,Master of Science in Management,Application,How do I know what documents are missing from my application?,https://www.torontomu.ca/tedrogersschool/master-science-management/admissions/faqs/#accordion-content-1571336306628-how-do-i-know-what-documents-are-missing-from-my-application-,"The missing supplementary files are listed in your To Do List in MyServiceHub. The To-Do List is on the right hand side of your Student Centre, which can be found by clicking on the MyServiceHub tab at the top of the screen after you log into my.torontomu.ca. If nothing is listed in the ""To-Do"" section, then everything has been received.

If your checklist is showing ""To-Do"" items, this means that any listed items are still missing. Click on details for more information regarding the documents listed.","How do I know what documents are missing from my application?
The missing supplementary files are listed in your To Do List in MyServiceHub. The To-Do List is on the right hand side of your Student Centre, which can be found by clicking on the MyServiceHub tab at the top of the screen after you log into my.torontomu.ca. If nothing is listed in the ""To-Do"" section, then everything has been received.

If your checklist is showing ""To-Do"" items, this means that any listed items are still missing. Click on details for more information regarding the documents listed."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Why did the university conduct a policy review?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409465992-why-did-the-university-conduct-a-policy-review-,"The Ministry of Training, Colleges and Universities Act sets out that all universities and colleges are required to review their sexual violence policies periodically and facilitate opportunities for student input. In order to maintain our commitment to excellence and fairness of process, and to comply with the legislative requirements, Toronto Metropolitan University (TMU) kicked off the SVP in October 2023. The Review process concluded in May 2024 following the approval from the Board of Governors on April 30, 2024. The revised SVP is now available on TMUs Administrative Policies webpage.

The university reviewed the SVP to ensure it continues to reflect an institutional commitment to foster a campus free from sexual violence and promote a culture of consent within our community in a trauma-informed way. The SVP Review involves a consultation process with the TMU community. Students, faculty, contract lecturers and staff will be invited to contribute feedback about the SVP through online surveys and town halls. There will also be feedback sessions with administrators of the SVP and subject-matter experts, faculty, contract lecturer and staff unions, undergraduate and graduate student unions and other stakeholders.","Why did the university conduct a policy review?
The Ministry of Training, Colleges and Universities Act sets out that all universities and colleges are required to review their sexual violence policies periodically and facilitate opportunities for student input. In order to maintain our commitment to excellence and fairness of process, and to comply with the legislative requirements, Toronto Metropolitan University (TMU) kicked off the SVP in October 2023. The Review process concluded in May 2024 following the approval from the Board of Governors on April 30, 2024. The revised SVP is now available on TMUs Administrative Policies webpage.

The university reviewed the SVP to ensure it continues to reflect an institutional commitment to foster a campus free from sexual violence and promote a culture of consent within our community in a trauma-informed way. The SVP Review involves a consultation process with the TMU community. Students, faculty, contract lecturers and staff will be invited to contribute feedback about the SVP through online surveys and town halls. There will also be feedback sessions with administrators of the SVP and subject-matter experts, faculty, contract lecturer and staff unions, undergraduate and graduate student unions and other stakeholders."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,1. I am a Grade 12 high school student. Can I apply to the Midwifery Education Program?,https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638256-1--i-m-a-grade-12-high-school-student---can-i-apply-to-the-midwifery-education-program-,"The Midwifery Education Program (MEP) is a competitive limited enrolment program. Over the years, a very few candidates have been successful in gaining admittance directly from high school. High school graduates are encouraged to gain further college or university experience before applying.","1. I am a Grade 12 high school student. Can I apply to the Midwifery Education Program?
The Midwifery Education Program (MEP) is a competitive limited enrolment program. Over the years, a very few candidates have been successful in gaining admittance directly from high school. High school graduates are encouraged to gain further college or university experience before applying."
Daphne Cockwell Scholl of Nursing,Graduate,Current Students,Where is the Master of Nursing program located?,https://www.torontomu.ca/nursing/graduate/student-resources/graduate-faqs/#accordion-content-1602696766537-where-is-the-master-of-nursing-program-located-,"The Master of Nursing program is located at:

Daphne Cockwell School of Nursing
Toronto Metropolitan University
350 Victoria Street
Toronto, ON
Canada
M5B 2K3

The Daphne Cockwell School of Nursing is located in the Daphne Cockwell Health Science Building, 5th Floor (map).

Office Hours:
Main Office
Monday to Thursday, 9:00 am to 4:30 pm
Closed on Fridays

Central Placement Office 
Monday to Friday 8:30 am to 4:00 pm 
(see CPO website for exceptions)

MN and PhD in Urban Health Program Administration Office  DCC-536

Monday and Tuesday from 9:00 a.m. to 4:00 p.m, drop-in or by appointment. 
Wednesday-Friday from 9:00 a.m. to 4:00 p.m, by appointment only. Faculty
Office hours vary, please contact the faculty member to inquire or pre-arrange an appointment","Where is the Master of Nursing program located?
The Master of Nursing program is located at:

Daphne Cockwell School of Nursing
Toronto Metropolitan University
350 Victoria Street
Toronto, ON
Canada
M5B 2K3

The Daphne Cockwell School of Nursing is located in the Daphne Cockwell Health Science Building, 5th Floor (map).

Office Hours:
Main Office
Monday to Thursday, 9:00 am to 4:30 pm
Closed on Fridays

Central Placement Office 
Monday to Friday 8:30 am to 4:00 pm 
(see CPO website for exceptions)

MN and PhD in Urban Health Program Administration Office  DCC-536

Monday and Tuesday from 9:00 a.m. to 4:00 p.m, drop-in or by appointment. 
Wednesday-Friday from 9:00 a.m. to 4:00 p.m, by appointment only. Faculty
Office hours vary, please contact the faculty member to inquire or pre-arrange an appointment"
Daphne Cockwell Scholl of Nursing,Graduate,Current Students,Can I transfer between graduate nursing programs?,https://www.torontomu.ca/nursing/graduate/student-resources/graduate-faqs/#accordion-content-1602696766577-can-i-transfer-between-graduate-nursing-programs-,"The Master of Nursing program is located at:

Daphne Cockwell School of Nursing
Toronto Metropolitan University
350 Victoria Street
Toronto, ON
Canada
M5B 2K3

The Daphne Cockwell School of Nursing is located in the Daphne Cockwell Health Science Building, 5th Floor (map).

Office Hours:
Main Office
Monday to Thursday, 9:00 am to 4:30 pm
Closed on Fridays

Central Placement Office 
Monday to Friday 8:30 am to 4:00 pm 
(see CPO website for exceptions)

MN and PhD in Urban Health Program Administration Office  DCC-536

Monday and Tuesday from 9:00 a.m. to 4:00 p.m, drop-in or by appointment. 
Wednesday-Friday from 9:00 a.m. to 4:00 p.m, by appointment only. ","Can I transfer between graduate nursing programs?
The Master of Nursing program is located at:

Daphne Cockwell School of Nursing
Toronto Metropolitan University
350 Victoria Street
Toronto, ON
Canada
M5B 2K3

The Daphne Cockwell School of Nursing is located in the Daphne Cockwell Health Science Building, 5th Floor (map).

Office Hours:
Main Office
Monday to Thursday, 9:00 am to 4:30 pm
Closed on Fridays

Central Placement Office 
Monday to Friday 8:30 am to 4:00 pm 
(see CPO website for exceptions)

MN and PhD in Urban Health Program Administration Office  DCC-536

Monday and Tuesday from 9:00 a.m. to 4:00 p.m, drop-in or by appointment. 
Wednesday-Friday from 9:00 a.m. to 4:00 p.m, by appointment only. "
Future Students,Graduate and Postdoctoral Studies,Admissions,12. Do I need to take the GMAT and/or GRE?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444345796-12--do-i-need-to-take-the-gmat-and-or-gre-,"The Master of Business Administration and PhD in Management require a Graduate Management Admissions Test (GMAT) or a Graduate Record Examination (GRE) . All official scores should be submitted to the university GMAT code 3QP-56-33, and GRE code 1991.","12. Do I need to take the GMAT and/or GRE?
The Master of Business Administration and PhD in Management require a Graduate Management Admissions Test (GMAT) or a Graduate Record Examination (GRE) . All official scores should be submitted to the university GMAT code 3QP-56-33, and GRE code 1991."
 Budget,2024-26,Funding and Special Projects,What are Toronto Metropolitan University's main expenses?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1548986520586-what-are-toronto-metropolitan-university-s-main-expenses-,"The majority of our expenditures are for academic and student support operations, with remaining funds supporting activities such as building maintenance, campus computing and technological services, research services, and administrative functions.

Nearly three-quarters of our operating expenditures are for salaries and benefits. The majority of these costs are determined by negotiated collective agreements with our three main unions: the Toronto Metropolitan Faculty Association (TFA), the Ontario Public Service Employees Union (OPSEU), and the Canadian Union of Public Employees (CUPE).","What are Toronto Metropolitan University's main expenses?
The majority of our expenditures are for academic and student support operations, with remaining funds supporting activities such as building maintenance, campus computing and technological services, research services, and administrative functions.

Nearly three-quarters of our operating expenditures are for salaries and benefits. The majority of these costs are determined by negotiated collective agreements with our three main unions: the Toronto Metropolitan Faculty Association (TFA), the Ontario Public Service Employees Union (OPSEU), and the Canadian Union of Public Employees (CUPE)."
Ted Rogers School of Management,Fit for Business,Fit for Business,Where can I find IT support?,https://www.torontomu.ca/tedrogersschool/fit-for-business/faqs/#accordion-content-1681754870262-where-can-i-find-it-support-,"The IT Department offers free software and technical support such as troubleshooting, borrowing laptops, setting up access to virtual laptops and more. To find out  about other support services, visit the IT Department page

Are you also looking for softwares that TMU offers? Visit our Computing and Communications Services (CCS) page where you can find all the free softwares available to TMU students.","Where can I find IT support?
The IT Department offers free software and technical support such as troubleshooting, borrowing laptops, setting up access to virtual laptops and more. To find out  about other support services, visit the IT Department page

Are you also looking for softwares that TMU offers? Visit our Computing and Communications Services (CCS) page where you can find all the free softwares available to TMU students."
Computing and Communications Services,Google Workspace,General,What languages does Google Apps support?,https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495550057355-what-languages-does-google-apps-support-,"The interface for Gmail and Google Calendar are available in over 50 languages. For a list of the available languages and instructions on how to set a different language, see the Gmail Help Center
(external link)
.","What languages does Google Apps support?
The interface for Gmail and Google Calendar are available in over 50 languages. For a list of the available languages and instructions on how to set a different language, see the Gmail Help Center
(external link)
."
Computing and Communications Services,Google Workspace,Google Mail ,How do I prevent messages from specific senders from being tagged as spam?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1495556096811-how-do-i-prevent-messages-from-specific-senders-from-being-tagged-as-spam-,"The Gmail ""Spam"" category is a mandatory part of all Gmail mailboxes.  It cannot be disabled and should be periodically checked for misfiled (non-spam) messages.

There are three pro-active things you can do to reduce the likelihood specific messages will be erroneously considered ""Spam"" :

Mark the message as 'not spam', check the box beside the message and click the Not Spam button above the message.  Future messages that are similar will have a lower chance of being falsely flagged.
Add legitimate senders to your Google Contacts (hover over the sender and select ""Add to contacts"").  Email addresses contained in your contacts have a lower chance of going to ""Spam"".
Create a filter for messages from this user using the Never send it to Spam option:
Select the spam message.
From the upper-right, select More.
Select ""Filter messages like these"".
Verify the ""From"" in the next window contains the appropriate sender address.
Select ""Create filter with this search"".
Put a check-mark in ""Never send it to spam"".
Click ""create filter""","How do I prevent messages from specific senders from being tagged as spam?
The Gmail ""Spam"" category is a mandatory part of all Gmail mailboxes.  It cannot be disabled and should be periodically checked for misfiled (non-spam) messages.

There are three pro-active things you can do to reduce the likelihood specific messages will be erroneously considered ""Spam"" :

Mark the message as 'not spam', check the box beside the message and click the Not Spam button above the message.  Future messages that are similar will have a lower chance of being falsely flagged.
Add legitimate senders to your Google Contacts (hover over the sender and select ""Add to contacts"").  Email addresses contained in your contacts have a lower chance of going to ""Spam"".
Create a filter for messages from this user using the Never send it to Spam option:
Select the spam message.
From the upper-right, select More.
Select ""Filter messages like these"".
Verify the ""From"" in the next window contains the appropriate sender address.
Select ""Create filter with this search"".
Put a check-mark in ""Never send it to spam"".
Click ""create filter"""
 Budget,2024-42,"Enrolment,Recruitment and International",How does revenue from continuing education (CE) impact the budget? Can we increase revenue and diversify enrolment? Is CE enrolment unregulated?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1617221494934-how-does-revenue-from-continuing-education--ce--impact-the-budget--can-we-increase-revenue-and-diversify-enrolment--is-ce-enrolment-unregulated-,"The G. Raymond Chang School of Continuing Education offers a combination of degree-credit and certificate-credit courses. Degree credit enrolment is counted as part of our enrolment that is funded by the government, which is capped at the overall university level. Other Chang School enrolments that are not degree-credit are not subject to limits and we will work to increase enrolment in these courses.","How does revenue from continuing education (CE) impact the budget? Can we increase revenue and diversify enrolment? Is CE enrolment unregulated?
The G. Raymond Chang School of Continuing Education offers a combination of degree-credit and certificate-credit courses. Degree credit enrolment is counted as part of our enrolment that is funded by the government, which is capped at the overall university level. Other Chang School enrolments that are not degree-credit are not subject to limits and we will work to increase enrolment in these courses."
School of Medicine,School of Medicine,Programs and Pathways,What programs will the Toronto Metropolitan University School of Medicine offer?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1634258009073-what-programs-will-the-toronto-metropolitan-university-school-of-medicine-offer-,"The foundational curriculum and research at the Toronto Metropolitan University School of Medicine will be community-engaged, and driven by a social determinants of health framework as central to health care delivery. Decisions such as programming will be overseen by the Academic Program Development Committee.

The School of Medicine will offer an undergraduate Doctor of Medicine (MD) program and a postgraduate residency program.","What programs will the Toronto Metropolitan University School of Medicine offer?
The foundational curriculum and research at the Toronto Metropolitan University School of Medicine will be community-engaged, and driven by a social determinants of health framework as central to health care delivery. Decisions such as programming will be overseen by the Academic Program Development Committee.

The School of Medicine will offer an undergraduate Doctor of Medicine (MD) program and a postgraduate residency program."
Future Students,Undergraduate,Admissions,What should I do if my document is larger than the file size limit?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692982073662-what-should-i-do-if-my-document-is-larger-than-the-file-size-limit-,"The file size restriction for uploading documents through the ChooseTMU Applicant Portal is 50 MB each (51,200 KB). To reduce the size of the file:
Lower the resolution (DPI) of the scanned image
Reduce the height and width of the scanned image
If available, reduce the quality of compression
Ensure that fonts are not embedded
We also recommend converting your files to .pdf","What should I do if my document is larger than the file size limit?
The file size restriction for uploading documents through the ChooseTMU Applicant Portal is 50 MB each (51,200 KB). To reduce the size of the file:
Lower the resolution (DPI) of the scanned image
Reduce the height and width of the scanned image
If available, reduce the quality of compression
Ensure that fonts are not embedded
We also recommend converting your files to .pdf"
Philosophy,Philosophy,Philosophy,How much does it cost for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1614028119798-how-much-does-it-cost-,"The fees for the program change every year, but are around $3000/term.","How much does it cost for philosophy?
The fees for the program change every year, but are around $3000/term."
School of Urban and Regional Planning,Urban Development,Program Information,How much does it cost for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588493-how-much-does-it-cost-,"The fees for the program change every year but are typically around $3,500 per term. There are three terms per year; five terms in total for the two-year stream and three terms in total for the one-year stream.","How much does it cost for  urban planning program?
The fees for the program change every year but are typically around $3,500 per term. There are three terms per year; five terms in total for the two-year stream and three terms in total for the one-year stream."
 Budget,2024-36,Funding and Special Projects,How will the federal government's cap on international student visas affect TMU?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1707144584373-how-will-the-federal-government-s-cap-on-international-student-visas-affect-tmu--,"The federal government sets a cap for each province, and individual provinces decide on the allocation among their institutions. At this time, the Province has not announced how it will allocate spaces within Ontario. TMU is advocating for an allocation that allows continued growth from the university's relatively low current levels. Our university has taken a measured approach to international enrolment, with roughly 10 per cent of our enrolment accounted for by international students compared to a system average of about 20 per cent. It should be noted that the cap does not apply to graduate programs.","How will the federal government's cap on international student visas affect TMU?
The federal government sets a cap for each province, and individual provinces decide on the allocation among their institutions. At this time, the Province has not announced how it will allocate spaces within Ontario. TMU is advocating for an allocation that allows continued growth from the university's relatively low current levels. Our university has taken a measured approach to international enrolment, with roughly 10 per cent of our enrolment accounted for by international students compared to a system average of about 20 per cent. It should be noted that the cap does not apply to graduate programs."
 Budget,2024-33,Funding and Special Projects,Why is the university opening a new School of Medicine at this time?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1617220981374-why-is-the-university-opening-a-new-school-of-medicine-at-this-time-,"The expectation is that the ongoing activities related to this initiative will be supported by new, incremental revenue that is not related to our current enrolment. The Government of Ontario announced its support for the school of medicine, including funding for 94 undergraduate and 105 postgraduate seats that are resourced separately from TMUs existing enrolment. The City of Brampton donated an existing building along with funds to support renovations to establish the physical site for the school, and TMU is working with the Federal and Provincial governments and private donors to seek additional funding to support capital development.

Ontario is facing a shortage of primary care physicians who are unevenly distributed across communities, contributing to growing unmet care needs. For example, Brampton is one of Canadas most culturally diverse and fastest-growing cities. In spite of this dynamism, its residents experience significant challenges with access to appropriate, high-quality primary care.  TMU has the opportunity to engage with the Brampton community and the surrounding region to develop a model for health care that can be adopted throughout Ontario and beyond.","Why is the university opening a new School of Medicine at this time?
The expectation is that the ongoing activities related to this initiative will be supported by new, incremental revenue that is not related to our current enrolment. The Government of Ontario announced its support for the school of medicine, including funding for 94 undergraduate and 105 postgraduate seats that are resourced separately from TMUs existing enrolment. The City of Brampton donated an existing building along with funds to support renovations to establish the physical site for the school, and TMU is working with the Federal and Provincial governments and private donors to seek additional funding to support capital development.

Ontario is facing a shortage of primary care physicians who are unevenly distributed across communities, contributing to growing unmet care needs. For example, Brampton is one of Canadas most culturally diverse and fastest-growing cities. In spite of this dynamism, its residents experience significant challenges with access to appropriate, high-quality primary care.  TMU has the opportunity to engage with the Brampton community and the surrounding region to develop a model for health care that can be adopted throughout Ontario and beyond."
Computing and Communications Services,Google Workspace,Google Groups,Do calendar events update to reflect changing group membership?,https://www.torontomu.ca/google/getting-started/google-groups/#accordion-content-1499284041112-do-calendar-events-update-to-reflect-changing-group-membership-,"The event's guest list WILL keep up with changes to the group's members: the event will appear for new members of the group and will be removed from the calendar of people that leave the group (unless they are invited directly or as a member of a different group).
Group changes are only updated for future events (events that haven't happened yet), including future instances of recurring events.
If you click the Expand group link, the group expands into a list of guests who can be individually removed. However, group membership information is lost, and the event will no longer keep up with subsequent changes.","Do calendar events update to reflect changing group membership?
The event's guest list WILL keep up with changes to the group's members: the event will appear for new members of the group and will be removed from the calendar of people that leave the group (unless they are invited directly or as a member of a different group).
Group changes are only updated for future events (events that haven't happened yet), including future instances of recurring events.
If you click the Expand group link, the group expands into a list of guests who can be individually removed. However, group membership information is lost, and the event will no longer keep up with subsequent changes."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,8. What's the philosophy of the program?,https://www.torontomu.ca/midwifery/admissions/faq/#accordion-content-1605633627406-8--what-s-the-philosophy-of-the-program-,"The educational program is based on the following beliefs and values:

WE BELIEVE that midwifery has the potential to be one of the most important components of womens health care in Ontario. Midwives expertise in the care of normal pregnancy and childbirth arises from their understanding of childbearing as a social, cultural and biological process and from their ability to competently exercise clinical skills and decision-making. Midwifery education must provide the base for sound professional practice.

WE BELIEVE that midwives are the best persons to teach the professional practice of midwifery. In addition WE BELIEVE that the educational program has a special responsibility to foster partnerships between midwives and other health care providers for the benefit of students and women who seek midwifery care.

WE BELIEVE the educational program is an integral part of the evolution of the profession of midwifery in Ontario and Canada. The program must help create future leaders and teachers. It must establish practice and teaching as a continuum so that learning environments become available across Ontario.

WE BELIEVE the educational program will best assure the acquisition of knowledge, skills and values, and foster critical thinking if the academic setting is respectful of students, is committed to scholarly enquiry and emphasized the lifelong ability to learn and change.

WE BELIEVE that accessible education, which is both flexible and culturally sensitive, requires high quality distance education.

WE BELIEVE that the collaborative model of program development and management described herein provides both a reflection of and a model for professional practice in the field of midwifery.","8. What's the philosophy of the program?
The educational program is based on the following beliefs and values:

WE BELIEVE that midwifery has the potential to be one of the most important components of womens health care in Ontario. Midwives expertise in the care of normal pregnancy and childbirth arises from their understanding of childbearing as a social, cultural and biological process and from their ability to competently exercise clinical skills and decision-making. Midwifery education must provide the base for sound professional practice.

WE BELIEVE that midwives are the best persons to teach the professional practice of midwifery. In addition WE BELIEVE that the educational program has a special responsibility to foster partnerships between midwives and other health care providers for the benefit of students and women who seek midwifery care.

WE BELIEVE the educational program is an integral part of the evolution of the profession of midwifery in Ontario and Canada. The program must help create future leaders and teachers. It must establish practice and teaching as a continuum so that learning environments become available across Ontario.

WE BELIEVE the educational program will best assure the acquisition of knowledge, skills and values, and foster critical thinking if the academic setting is respectful of students, is committed to scholarly enquiry and emphasized the lifelong ability to learn and change.

WE BELIEVE that accessible education, which is both flexible and culturally sensitive, requires high quality distance education.

WE BELIEVE that the collaborative model of program development and management described herein provides both a reflection of and a model for professional practice in the field of midwifery."
Giving,Giving,Recognition of Giving,Donor Bill of Rights,https://www.torontomu.ca/giving/faq/#accordion-content-1572880158008-donor-bill-of-rights,"The Donor Bill of Rights was created by the Association of Fundraising Professionals (AFP), the Association for Healthcare Philanthropy (AHP), the Council for Advancement and Support of Education (CASE), and the Giving Institute: Leading Consultants to Non-Profits. It has been endorsed by numerous organizations.","Donor Bill of Rights
The Donor Bill of Rights was created by the Association of Fundraising Professionals (AFP), the Association for Healthcare Philanthropy (AHP), the Council for Advancement and Support of Education (CASE), and the Giving Institute: Leading Consultants to Non-Profits. It has been endorsed by numerous organizations."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,What is the difference between the two Direct Entry programs?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1527883143334-what-is-the-difference-between-the-two-direct-entry-programs-,"The Direct Entry programs have different requirements for when you can complete them:

Full-time Direct Entry: you will take a full course load and complete the degree in two years
Part-time, Direct Entry: you have up to seven years to complete the degree.  Part-time students may enroll into one to two Child and Youth Care courses per term.  Part-time students interested in enrolling into additional Child and Youth Care courses must wait until after registration is completed by full-time students (open enrollment) before they enroll into additional Child and Youth Care courses to ensure that full-time students are able to register into their Child and Youth Care courses.
Both options offer classroom (daytime and evening) and online course delivery. The Part-time Direct Entry program can be completed entirely online.","What is the difference between the two Direct Entry programs?
The Direct Entry programs have different requirements for when you can complete them:

Full-time Direct Entry: you will take a full course load and complete the degree in two years
Part-time, Direct Entry: you have up to seven years to complete the degree.  Part-time students may enroll into one to two Child and Youth Care courses per term.  Part-time students interested in enrolling into additional Child and Youth Care courses must wait until after registration is completed by full-time students (open enrollment) before they enroll into additional Child and Youth Care courses to ensure that full-time students are able to register into their Child and Youth Care courses.
Both options offer classroom (daytime and evening) and online course delivery. The Part-time Direct Entry program can be completed entirely online."
Centre of Excellence in Learning and Teaching,Curriculum Quality,Program Learning Outcomes & Program Objectives,What is the Difference between Program Goals/Objectives and Program Learning Outcomes?,https://www.torontomu.ca/curriculumquality/resources/learning-outcoms/#accordion-content-1598552595648-what-is-the-difference-between-program-goals-objectives-and-program-learning-outcomes--,"The difference between program objectives or goals and program outcomes is a difference in perspective. Program goals or objectives are part of the planning process. They describe what a program plans or seeks to achieve. The focus is on what is promoted in and delivered by the program (e.g. broad areas of focus or approach(es), learning activities used, and experiences or opportunities offered). Program objectives also help define what makes the program unique and meaningful, and ultimately provide direction and justification for program and course-level curricular decisions.

In contrast, program learning outcomes focus on the skills developed by graduates, outlining the knowledge, skills, and values/attitudes that a graduate will be able to demonstrate. Rather than focus on the material that will be covered or the experiences theyll have, program learning outcomes focus on how students understand and employ that material and the specific knowledge, skills and attitudes they will be able to demonstrate as a resul","What is the Difference between Program Goals/Objectives and Program Learning Outcomes?
The difference between program objectives or goals and program outcomes is a difference in perspective. Program goals or objectives are part of the planning process. They describe what a program plans or seeks to achieve. The focus is on what is promoted in and delivered by the program (e.g. broad areas of focus or approach(es), learning activities used, and experiences or opportunities offered). Program objectives also help define what makes the program unique and meaningful, and ultimately provide direction and justification for program and course-level curricular decisions.

In contrast, program learning outcomes focus on the skills developed by graduates, outlining the knowledge, skills, and values/attitudes that a graduate will be able to demonstrate. Rather than focus on the material that will be covered or the experiences theyll have, program learning outcomes focus on how students understand and employ that material and the specific knowledge, skills and attitudes they will be able to demonstrate as a resul"
Faculty of Engineering & Architectural Science,Architectural Science,Architectural Science,When is the application deadline for Architectural Science program at Toronto Metropolitan University (TMU)?,https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804190821-architectural-science,"The deadline for equal consideration for fall applications is February 1 each year. However, applications, amendments and supporting documents received after this date will be reviewed subject to space availability. Therefore, we encourage you to complete your application as early as possible.","When is the application deadline for Architectural Science program at Toronto Metropolitan University (TMU)?
The deadline for equal consideration for fall applications is February 1 each year. However, applications, amendments and supporting documents received after this date will be reviewed subject to space availability. Therefore, we encourage you to complete your application as early as possible."
Centre of Excellence in Learning and Teaching,Curriculum Quality,Degree-Level Expectations,How do I map DLEs to PLOs?,https://www.torontomu.ca/curriculumquality/resources/degree-level-expects/#!accordion-1598553345256-how-do-i-map-dles-to-plos-,"The Curriculum Quality team has developed the following templates for mapping DLEs to PLOs to indicate alignment for New Programs and for Periodic Program Review:

o   Mapping Undergraduate Degree-Level Expectations (UDLEs) to PLOs

o   Mapping Graduate Degree-Level Expectations (GDLEs) to PLOs (Masters)

o   Mapping Graduate Degree-Level Expectations (GDLEs) to PLOs (Doctorate)","How do I map DLEs to PLOs?
The Curriculum Quality team has developed the following templates for mapping DLEs to PLOs to indicate alignment for New Programs and for Periodic Program Review:

o   Mapping Undergraduate Degree-Level Expectations (UDLEs) to PLOs

o   Mapping Graduate Degree-Level Expectations (GDLEs) to PLOs (Masters)

o   Mapping Graduate Degree-Level Expectations (GDLEs) to PLOs (Doctorate)"
