Department,Sub_Department,Topic,question_name,question_url,question_answer_1_name,question_answer_2_name,question_answer_3_name
Computing and Communications Services,Google Workspace,Google Contacts,How-do-i-recreate-mailing-lists-in-google-contacts-from-outlook-or-lotus-notes-?,https://www.torontomu.ca/google/getting-started/google-contacts/#!accordion-1499281963106-how-do-i-recreate-mailing-lists-in-google-contacts-from-outlook-or-lotus-notes-,"Recreate a mailing list in Google Contacts as follows:

Open Outlook or Lotus Notes and display the addresses in the mailing list.
In your Google contacts, select the New Group button.
In the Add to group field, start typing the email address of a contact in the Outlook or Notes mailing list (refer to the open mailing list for the addresses).
When the contact appears, select it. Google contact manager adds the contact to the new group.
Continue adding contacts to the group.",,
Computing and Communications Services,Google Workspace,Google Chat,When was Google Hangouts updated?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368797935-when-was-google-hangouts-updated-,"Hangouts was updated to Google Chat at TMU in July 2020. All one-to-one messages were transferred to Google Chat. The classic Hangouts will still be available until late 2020, after which Google will retire the app.",,
Computing and Communications Services,Google Workspace,Google Chat,Can I still use classic Hangouts?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368814508-can-i-still-use-classic-hangouts-,"Until Google retires the app permanently in late 2020, classic Hangouts will remain available through the web by going to hangouts.google.com
(external link)
. Within Gmail, the new Google Chat will appear in place of the classic Hangouts. There is no option to revert back to classic Hangouts in Gmail. Direct messages sent in classic Hangouts or Google Chat can be viewed and replied to in the other service. Group messages in classic Hangouts or Google Chat can’t be viewed or replied to in the other service. If you would like to continue group messages in the new Google Chat, you will have to recreate the group chats in spaces or group messages.",,
Computing and Communications Services,Google Workspace,Google Chat,What is the difference between spaces and group messages in Google Chat?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368822084-what-is-the-difference-between-spaces-and-group-messages-in-google-chat-,"Group messages are private conversations. Once initiated, no new members can be added to the conversation. However, group conversations created after December 3rd, 2020, will allow you to add additional participants. Spaces are great for teams to collaborate, share up-to-date information and meet on the fly. For help in choosing whether you want to start a space or a group message, please visit the TMU Google Chat Guide.",,
Computing and Communications Services,Google Workspace,Google Chat,Where is my chat history?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368832589-where-is-my-chat-history-,"You can access your chat history from classic Hangouts through hangouts.google.com
(external link)
or by searching in Gmail by going to the Gmail search box and adding in:chat to your search. In the new Google Chat, your chat history will stay within Google Chat and can be searched
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Chat,Can I still make phone/voice calls from Google Chat?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368858906-can-i-still-make-phone-voice-calls-from-google-chat-,"While classic Hangouts allowed you to make phone and voice calls to other users directly in Gmail, you can now use Google Meet to make phone calls instead. In terms of voice calls and text messaging (SMS), this feature is now offered via Google Voice (Google Voice is not available at TMU). For faculty and staff, you can make phone calls using the Cisco Jabber client
(opens in new window)
, this will allow you to make and receive phone calls on your TMU extension using your computer or mobile device.",,
Computing and Communications Services,Google Workspace,Google Chat,What happened to the message previews when chatting in Gmail?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368867146-what-happened-to-the-message-previews-when-chatting-in-gmail-,"Chat previews are no longer available in Google Chat in Gmail. If you are using the mobile app you will be able to see direct and group message previews. Previews are still available in classic Hangouts on the web through hangouts.google.com
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Chat,"I don’t want Google Chat in my Gmail, how can I hide it?",https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595368880513-i-don-t-want-google-chat-in-my-gmail--how-can-i-hide-it-,"Go to the settings menu by clicking the gear icon. In the settings side panel, go to “See all settings”. On the settings page, go to the “Chat and Meet” tab. In the Chat section, click “Chat off” and “Save Changes”. This will hide Google Chat from Gmail but you will still be able to use Google Chat by going to https://chat.google.com/
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Chat,Can I use Google Groups to chat with a group of people on Google Chat?,https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595370099262-can-i-use-google-groups-to-chat-with-a-group-of-people-on-google-chat-,"You can use Google Groups to invite current members of the group to a space. However, you will not be able to invite people using Google Groups into group chats.New members of a Google Group will need to be added to the space after the group is initially invited.",,
Computing and Communications Services,Google Workspace,Google Chat,"I can't find someone in the search in Google Chat, how do I chat with them?",https://www.torontomu.ca/google/getting-started/google-chat/#accordion-content-1595370385359-i-can-t-find-someone-in-the-search-in-google-chat--how-do-i-chat-with-them-,"Only faculty and staff are searchable in the directory. You will need to add the person as a contact before you can chat with them. For help, please see this section in the TMU Google Chat Guide.",,
Computing and Communications Services,Google Workspace,Google Keep,What is Google Keep?,https://www.torontomu.ca/google/getting-started/google-keep/#!accordion-1499283223930-what-is-google-keep-,"Google Keep is a note-taking and task-list app that integrates Google Drive. It is categorized as a productivity and organization app, offering a diverse set of tools for creating a variety of notes. With Google Keep, you can:

Create, edit, share and collaborate with others on text notes, checklists, drawings, photos and audio voice memos in real-time.
Always keep your notes with you as everything you create on the app syncs across all of your devices, including phones, tablets and computers.
Organize your notes with labels and colour coding.",,
Computing and Communications Services,Google Workspace,Google Keep,How do I integrate Google Keep with Google Drive?,https://www.torontomu.ca/google/getting-started/google-keep/#!accordion-1499283239965-how-do-i-integrate-google-keep-with-my-google-drive-,"you can add an existing Google Keep note to a Google Doc file type by clicking the Tools menu > Keep Notepad. The note inserts into the Google Doc in the same format you created it in, e.g. text, checklist, drawing, etc.

Keep notepad in Tools menu

Another way to do this is from within Google Keep. Select the More menu and click Copy to Google Doc.
",,
Computing and Communications Services,Google Workspace,Google Meet,How do I access Meet from my.torontomu.ca?,https://www.torontomu.ca/google/getting-started/google-meet/#!accordion-1499285079447-how-do-i-access-meet-from-my-torontomu-ca-,"To access the Meet app:

Log into my.torontomu.ca and find Google Meet under the Apps tab.
Via the apps grid in the upper right-hand corner of any Google application - be sure to click More.
Sign into https://meet.google.com/",,
Computing and Communications Services,Google Workspace,Google Meet,What are the benefits of video calls?,https://www.torontomu.ca/google/getting-started/google-meet/#!accordion-1499284953253-what-are-the-benefits-of-video-calls-,"Video calls on Google Meet can be useful for holding online meetings when in-person meetings aren�t possible. In Google Meet, you can also dial in or dial out using a phone to join meetings (you will only have voice capabilities in the dial in/out option). Video calls are similar to other tools available at TMU such as Zoom, with comparable features. If you have a camera and microphone for your computer or device, you can start a video call with up to 500 participants and share your screen.",,
Computing and Communications Services,Google Workspace,Google Meet,What happened to video calls in hangouts?,https://www.torontomu.ca/google/getting-started/google-meet/#!accordion-1499284961101-what-happened-to-video-calls-in-hangouts-,"Hangouts still exists but will strictly be used for text based chat and phone calls. Google Meet will be a dedicated video conferencing app instead of being part of classic Hangouts. After August 13, 2018 Calendar events will include options to create Meet meetings and all classic Hangouts links will become inactive.",,
